,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601888.SH,20211224,210,219.47,206,217.9,210.35,7.55,3.5893,118301.93,2522862.411
1,601888.SH,20211223,213.03,213.99,209.07,210.35,212.01,-1.66,-0.783,79259.8,1668350.303
2,601888.SH,20211222,217.88,218.99,210.6,212.01,215,-2.99,-1.3907,79081.32,1686463.738
3,601888.SH,20211221,214.6,217.14,213.58,215,212.5,2.5,1.1765,51188.42,1102044.872
4,601888.SH,20211220,212,217,211.81,212.5,217.28,-4.78,-2.1999,78118.31,1670160.808
5,601888.SH,20211217,224.88,224.88,217.01,217.28,225.05,-7.77,-3.4526,95944.92,2103206.98
6,601888.SH,20211216,224.88,225.88,220.2,225.05,223.29,1.76,0.7882,73002.21,1630349.313
7,601888.SH,20211215,227.93,229.5,223.29,223.29,228,-4.71,-2.0658,77944.6,1754103.421
8,601888.SH,20211214,226.9,230.5,226,228,229.2,-1.2,-0.5236,83378.58,1899538.459
9,601888.SH,20211213,231,234.8,228,229.2,229.68,-0.48,-0.209,105077.01,2430628.557
10,601888.SH,20211210,226.03,231.5,226,229.68,228.38,1.3,0.5692,135796.19,3110904.289
11,601888.SH,20211209,215.9,230.04,215,228.38,215.46,12.92,5.9965,241829.74,5465319.968
12,601888.SH,20211208,212.5,216.23,210.18,215.46,213,2.46,1.1549,100937.32,2167111.727
13,601888.SH,20211207,211.6,214.57,209.1,213,211.99,1.01,0.4764,101720.85,2160458.075
14,601888.SH,20211206,209.16,213.6,207,211.99,204.06,7.93,3.8861,198125.43,4178501.735
15,601888.SH,20211203,202.13,204.38,197.2,204.06,201.82,2.24,1.1099,125997.93,2534763.866
16,601888.SH,20211202,202.5,204.8,201.81,201.82,202.89,-1.07,-0.5274,62781.43,1272913.186
17,601888.SH,20211201,204,206,201.31,202.89,205.45,-2.56,-1.246,94071.3,1906373.031
18,601888.SH,20211130,204,209.89,204,205.45,203.3,2.15,1.0576,116322.8,2403797.667
19,601888.SH,20211129,204.98,209,201.28,203.3,211.32,-8.02,-3.7952,200975.6,4095370.434
20,601888.SH,20211126,210.85,213.87,207,211.32,211.8,-0.48,-0.2266,91466.24,1926550.114
21,601888.SH,20211125,220,221.1,211.5,211.8,220.99,-9.19,-4.1586,179791.34,3862184.034
22,601888.SH,20211124,220,221.69,218.56,220.99,220.5,0.49,0.2222,74742.61,1645521.045
23,601888.SH,20211123,224,225.6,218.18,220.5,223.56,-3.06,-1.3688,120740.34,2668308.323
24,601888.SH,20211122,224.1,226.5,222.5,223.56,225.3,-1.74,-0.7723,97721.99,2184699.165
25,601888.SH,20211119,224,226.68,223.38,225.3,224.1,1.2,0.5355,51376.19,1156644.778
26,601888.SH,20211118,228.45,228.5,223.9,224.1,230.44,-6.34,-2.7513,79827.73,1797312.559
27,601888.SH,20211117,232.3,233.31,229.66,230.44,234,-3.56,-1.5214,53471.4,1235433.065
28,601888.SH,20211116,230,236,228.51,234,229.88,4.12,1.7922,93022.4,2170333.568
29,601888.SH,20211115,228.94,230,223,229.88,223.56,6.32,2.827,103553.77,2359867.477
30,601888.SH,20211112,233.31,233.48,222.03,223.56,228.8,-5.24,-2.2902,108047.23,2429975.795
31,601888.SH,20211111,226,231.18,225,228.8,227.11,1.69,0.7441,63296.51,1445539.403
32,601888.SH,20211110,228.61,228.77,222.77,227.11,227.62,-0.51,-0.2241,66938.29,1510850.574
33,601888.SH,20211109,231.66,231.66,225.4,227.62,229.42,-1.8,-0.7846,68148.99,1551439.347
34,601888.SH,20211108,230.9,236.6,228.51,229.42,230.78,-1.36,-0.5893,98147.35,2271535.038
35,601888.SH,20211105,235.15,235.5,230.08,230.78,233.66,-2.88,-1.2326,78071.41,1812521.117
36,601888.SH,20211104,230.85,236.65,230.7,233.66,228.3,5.36,2.3478,116178.74,2717028.805
37,601888.SH,20211103,224.88,229.85,222.9,228.3,222.88,5.42,2.4318,180544.46,4103398.471
38,601888.SH,20211102,230,233,217.95,222.88,241.61,-18.73,-7.7522,477077.25,10732991.97
39,601888.SH,20211101,246.24,247,241.61,241.61,268.46,-26.85,-10.0015,96054,2328676.041
40,601888.SH,20211029,262.08,271.5,262,268.46,264.48,3.98,1.5048,81576.49,2177786.981
41,601888.SH,20211028,257.25,266.6,256.83,264.48,258,6.48,2.5116,69057.81,1819180.708
42,601888.SH,20211027,262,262,257.65,258,265,-7,-2.6415,55549.89,1438538.931
43,601888.SH,20211026,265,270.47,263.33,265,264.47,0.53,0.2004,51303.1,1362585.753
44,601888.SH,20211025,266.03,267.93,261.06,264.47,269,-4.53,-1.684,74562.03,1960368.611
45,601888.SH,20211022,258.94,272.56,257.55,269,257,12,4.6693,109698.19,2916982.413
46,601888.SH,20211021,258,260.97,254.23,257,259.5,-2.5,-0.9634,66800.52,1715329.827
47,601888.SH,20211020,264.35,266.77,256.3,259.5,259.12,0.38,0.1467,72671.57,1888054.323
48,601888.SH,20211019,259.38,264.5,258,259.12,259.84,-0.72,-0.2771,62470.65,1629992.558
49,601888.SH,20211018,268.55,268.55,256.01,259.84,269.55,-9.71,-3.6023,90551.51,2351444.074
50,601888.SH,20211015,273,273,263.66,269.55,273.09,-3.54,-1.2963,92446.02,2474570.481
51,601888.SH,20211014,277,279.37,269.23,273.09,278.2,-5.11,-1.8368,92772.06,2535195.39
52,601888.SH,20211013,266,278.68,263.02,278.2,267.2,11,4.1168,110126.53,3015947.184
53,601888.SH,20211012,265.69,269.72,261.69,267.2,263.5,3.7,1.4042,86359.91,2310194.612
54,601888.SH,20211011,270.3,276.19,262.38,263.5,270.3,-6.8,-2.5157,120324.46,3233411.687
55,601888.SH,20211008,272,275.4,267.01,270.3,260,10.3,3.9615,158293.28,4303197.664
56,601888.SH,20210930,262,266,255.62,260,251.28,8.72,3.4702,169627.36,4443265.688
57,601888.SH,20210929,249.87,253.7,244.44,251.28,253.98,-2.7,-1.0631,81017.06,2020772.847
58,601888.SH,20210928,255,256.77,246.6,253.98,256.72,-2.74,-1.0673,91352.49,2308453.397
59,601888.SH,20210927,248,262.17,247.6,256.72,247,9.72,3.9352,165767.68,4268883.352
60,601888.SH,20210924,233.03,250.73,232,247,234.6,12.4,5.2856,137686.32,3377118.242
61,601888.SH,20210923,234,238.97,233.08,234.6,238.12,-3.52,-1.4782,96699.38,2273130.016
62,601888.SH,20210922,245,248,236.36,238.12,249.5,-11.38,-4.5611,86427.89,2072753.293
63,601888.SH,20210917,238.03,252,233.08,249.5,241.36,8.14,3.3726,119810.46,2922310.88
64,601888.SH,20210916,233,241.79,228.48,241.36,234.97,6.39,2.7195,128935.98,3051284.128
65,601888.SH,20210915,245.01,245.7,232.4,234.97,246.85,-11.88,-4.8126,119897.11,2850825.08
66,601888.SH,20210914,251.3,256.66,246.08,246.85,251.25,-4.4,-1.7512,100654.09,2526958.368
67,601888.SH,20210913,252.18,265,250.01,251.25,255,-3.75,-1.4706,146510.43,3767335.825
68,601888.SH,20210910,243.18,255.58,243.18,255,245.07,9.93,4.0519,129791.1,3280476.142
69,601888.SH,20210909,248.66,250.6,243.1,245.07,249.33,-4.26,-1.7086,73956.01,1818162.344
70,601888.SH,20210908,249.59,250.98,246.05,249.33,249.56,-0.23,-0.0922,97932.24,2433812.265
71,601888.SH,20210907,243.5,252.1,243.04,249.56,243,6.56,2.6996,145450.09,3616523.534
72,601888.SH,20210906,236.68,245.7,231.51,243,236.4,6.6,2.7919,177210.92,4269376.766
73,601888.SH,20210903,226,237,222.5,236.4,228.05,8.35,3.6615,135673.89,3160015.735
74,601888.SH,20210902,239,241.87,227.07,228.05,236.29,-8.24,-3.4872,146890.22,3423609.361
75,601888.SH,20210901,228.79,240.17,224,236.29,228.29,8,3.5043,154780.59,3626276.605
76,601888.SH,20210831,240.41,240.68,221,228.29,239.5,-11.21,-4.6806,207526.51,4721717.632
77,601888.SH,20210830,242.3,243.2,233.2,239.5,240.23,-0.73,-0.3039,109937.57,2610439.448
78,601888.SH,20210827,242,246,238.18,240.23,245.14,-4.91,-2.0029,82938.15,1997464.446
79,601888.SH,20210826,247,247,237,245.14,246.94,-1.8,-0.7289,93735.1,2258774.444
80,601888.SH,20210825,242,253.86,239.64,246.94,240.1,6.84,2.8488,139968.77,3465408.645
81,601888.SH,20210824,234.28,241.18,231.58,240.1,232.1,8,3.4468,108328.03,2583026.842
82,601888.SH,20210823,232,236.99,229.03,232.1,228.27,3.83,1.6778,114436.09,2675067.574
83,601888.SH,20210820,235.12,235.12,224.14,228.27,236.09,-7.82,-3.3123,156366.52,3576077.812
84,601888.SH,20210819,235.74,241.48,229.92,236.09,235.72,0.37,0.157,125658.88,2949792.411
85,601888.SH,20210818,246.57,247.26,232.99,235.72,244.98,-9.26,-3.7799,186680.73,4407020.289
86,601888.SH,20210817,263.33,267.96,243.72,244.98,262.84,-17.86,-6.795,174447.13,4384061.973
87,601888.SH,20210816,259,268.45,257,262.84,257.65,5.19,2.0144,135435.53,3590725.702
88,601888.SH,20210813,251.51,259.5,251,257.65,253.08,4.57,1.8058,78881.55,2021004.845
89,601888.SH,20210812,255,258.48,251.51,253.08,259,-5.92,-2.2857,86297.27,2189914.306
90,601888.SH,20210811,267.5,268.57,257.98,259,267.35,-8.35,-3.1232,101470.27,2653005.018
91,601888.SH,20210810,258,268,251.44,267.35,260.4,6.95,2.669,157151.1,4097919.75
92,601888.SH,20210809,252.02,268.79,252.02,260.4,252,8.4,3.3333,160846.98,4239459.42
93,601888.SH,20210806,251,255.4,247.67,252,255,-3,-1.1765,93939.11,2358028.39
94,601888.SH,20210805,255.8,264,250.02,255,255,0,0,126912.62,3272173.302
95,601888.SH,20210804,254.89,259,248.94,255,253.87,1.13,0.4451,140808.19,3561130.676
96,601888.SH,20210803,236.36,255.36,235.74,253.87,239.35,14.52,6.0664,201578.21,5025146.133
97,601888.SH,20210802,227.9,241.4,224.13,239.35,241,-1.65,-0.6846,266968.27,6204401.324
98,601888.SH,20210730,253,254.44,240.5,241,258.01,-17.01,-6.5928,186103.42,4555811.38
99,601888.SH,20210729,255.15,265.5,255.02,258.01,250.84,7.17,2.8584,141431.8,3679353.772
100,601888.SH,20210728,250.1,259.67,245,250.84,254,-3.16,-1.2441,137248.92,3443777.887
101,601888.SH,20210727,261.2,265.02,252.99,254,262.98,-8.98,-3.4147,133906.36,3461482.429
102,601888.SH,20210726,274,274,256,262.98,277.68,-14.7,-5.2939,193102.64,5086692.598
103,601888.SH,20210723,281.95,283,273.53,277.68,281.96,-4.28,-1.5179,105533.45,2917578.724
104,601888.SH,20210722,282.09,292,279.01,281.96,284.69,-2.73,-0.9589,100762.74,2856338.206
105,601888.SH,20210721,295.1,297.67,284.58,284.69,293.45,-8.76,-2.9852,131218.62,3782193.591
106,601888.SH,20210720,290.5,296.67,287.88,293.45,290.22,3.23,1.1129,141293.98,4136827.958
107,601888.SH,20210719,274.48,290.22,269,290.22,275,15.22,5.5345,147585.4,4156961.7
108,601888.SH,20210716,285,286.35,274.8,275,284.93,-9.93,-3.4851,114096.98,3158462.13
109,601888.SH,20210715,281,286.66,279.01,284.93,282.3,2.63,0.9316,72365.23,2053258.985
110,601888.SH,20210714,288.69,288.69,280.94,282.3,288.79,-6.49,-2.2473,108534.75,3081845.526
111,601888.SH,20210713,287.46,299,286,288.79,285.7,3.09,1.0816,150025.09,4390420.301
112,601888.SH,20210712,271,287,264.12,285.7,265.16,20.54,7.7463,203295.83,5691852.395
113,601888.SH,20210709,267.99,271.78,264.4,265.16,269.39,-4.23,-1.5702,107278.15,2859414.841
114,601888.SH,20210708,276.99,277.83,268,269.39,275,-5.61,-2.04,134725.23,3666642.312
115,601888.SH,20210707,275.87,279.93,272.01,275,281.5,-6.5,-2.3091,137091.81,3781120.212
116,601888.SH,20210706,283.96,289.07,275,281.5,279.89,1.61,0.5752,117450.92,3300594.715
117,601888.SH,20210705,277.5,284.98,275.5,279.89,281.09,-1.2,-0.4269,91359.9,2560788.528
118,601888.SH,20210702,293.3,293.3,279,281.09,300,-18.91,-6.3033,175888.31,4979170.854
119,601888.SH,20210701,299,300.09,292.6,300,300.1,-0.1,-0.0333,88671.75,2627435.713
120,601888.SH,20210630,298.18,303.98,296.08,300.1,301.75,-1.65,-0.5468,68043.53,2040071.043
121,601888.SH,20210629,307.93,309,299.01,301.75,307.83,-6.08,-1.9751,103453.89,3129803.929
122,601888.SH,20210628,301,309.96,301,307.83,296.7,11.13,3.7513,100420.96,3085281.132
123,601888.SH,20210625,293.9,299.5,290.18,296.7,294.18,2.52,0.8566,99718.96,2954988.454
124,601888.SH,20210624,301.5,302.45,288.51,294.18,296.9,-2.72,-0.9161,102966.68,3008152.024
125,601888.SH,20210623,289,300.27,288.98,296.9,286.49,10.41,3.6336,166550.36,4955347.839
126,601888.SH,20210622,283,288,274.3,286.49,280.98,5.51,1.961,120975.95,3423877.62
127,601888.SH,20210621,285,285,274.3,281.98,287.48,-5.5,-1.9132,146046.64,4073868.106
128,601888.SH,20210618,285,287.75,276.42,287.48,286,1.48,0.5175,129950.6,3671374.728
129,601888.SH,20210617,289.7,293.94,283.68,286,289.7,-3.7,-1.2772,120224.46,3449965.534
130,601888.SH,20210616,300.5,301,288.2,289.7,297.68,-7.98,-2.6807,105929.77,3110465.033
131,601888.SH,20210615,310.69,310.69,295.5,297.68,311,-13.32,-4.283,130587.15,3913995.665
132,601888.SH,20210611,314.55,317,305.38,311,313.46,-2.46,-0.7848,92804.11,2875240.466
133,601888.SH,20210610,311.02,317.37,310.7,313.46,312.8,0.66,0.211,76099.06,2396773.127
134,601888.SH,20210609,314.3,319,310.96,312.8,317.38,-4.58,-1.4431,71216.52,2232948.852
135,601888.SH,20210608,316.74,324.58,314.47,317.38,317,0.38,0.1199,79786.89,2542852.738
136,601888.SH,20210607,319.92,319.92,310.63,317,319.56,-2.56,-0.8011,77896.63,2447473.55
137,601888.SH,20210604,322.01,325,317,319.56,325.84,-6.28,-1.9273,98451.21,3148155.234
138,601888.SH,20210603,327.99,331.85,322.02,325.84,325.3,0.54,0.166,62519.16,2049074.942
139,601888.SH,20210602,336,337.4,324,325.3,334.12,-8.82,-2.6398,71990.74,2359810.455
140,601888.SH,20210601,331.99,337.31,328.65,334.12,334.5,-0.38,-0.1136,84086.58,2805332.626
141,601888.SH,20210531,342.99,343.99,329.6,334.5,344.29,-9.79,-2.8435,112209.41,3735633.093
142,601888.SH,20210528,342,349.28,339,344.29,344.54,-0.25,-0.0726,68299.05,2357981.402
143,601888.SH,20210527,339.98,348.3,337,344.54,339.99,4.55,1.3383,84332.42,2896663.233
144,601888.SH,20210526,342,348.7,334.9,339.99,339.28,0.71,0.2093,90243.51,3074087.078
145,601888.SH,20210525,322.82,339.52,320.01,339.28,320.29,18.99,5.929,129888.39,4331541.435
146,601888.SH,20210524,318,323,313.5,320.29,318,2.29,0.7201,55125.83,1756716.299
147,601888.SH,20210521,328.54,330.1,314.02,318,325.01,-7.01,-2.1569,71742.91,2294108.74
148,601888.SH,20210520,324.56,329.8,321,325.01,326.52,-1.51,-0.4625,75203.77,2446860.596
149,601888.SH,20210519,317.37,329.98,315.12,326.52,318.05,8.47,2.6631,73130.13,2383748.369
150,601888.SH,20210518,319.31,322,314,318.05,319.39,-1.34,-0.4195,55098.4,1744413.987
151,601888.SH,20210517,313,322.1,310.25,319.39,309.58,9.81,3.1688,124513,3972405.796
152,601888.SH,20210514,297,310,293,309.58,295,14.58,4.9424,132436.88,4032866.27
153,601888.SH,20210513,297.99,301.77,288.1,295,303,-8,-2.6403,98790.3,2900389.995
154,601888.SH,20210512,299.39,304.5,295.01,303,299,4,1.3378,61798.89,1857947.024
155,601888.SH,20210511,294.5,301.8,292.31,299,298.89,0.11,0.0368,62559.37,1858703.389
156,601888.SH,20210510,289.35,303,289.35,298.89,288,10.89,3.7813,87718.14,2618300.311
157,601888.SH,20210507,295.03,300.8,287.53,288,295.7,-7.7,-2.604,88713.86,2602939.209
158,601888.SH,20210506,319,319,295.7,295.7,311.99,-16.29,-5.2213,131523.81,3972604.983
159,601888.SH,20210430,308.08,317.88,305,311.99,310.32,1.67,0.5382,100350.89,3132227.992
160,601888.SH,20210429,307.22,316.1,305,310.32,310,0.32,0.1032,88524.75,2748613.798
161,601888.SH,20210428,306.67,311.49,295,310,306.98,3.02,0.9838,102716.19,3139965.249
162,601888.SH,20210427,301.55,307.85,299.02,306.98,298.44,8.54,2.8615,96834.43,2955423.133
163,601888.SH,20210426,301,309.89,297.3,298.44,299.29,-0.85,-0.284,112245.43,3422768.84
164,601888.SH,20210423,298.15,303.27,296.06,299.29,296,3.29,1.1115,106775.2,3204828.432
165,601888.SH,20210422,297,297.9,283.5,296,298.66,-2.66,-0.8906,137405.87,3986803.757
166,601888.SH,20210421,288,298.69,287.99,298.66,292.99,5.67,1.9352,78048.3,2307619.029
167,601888.SH,20210420,294.21,302.47,291.58,292.99,294.5,-1.51,-0.5127,106022.79,3142971.502
168,601888.SH,20210419,285.58,298.01,283.85,294.5,285.85,8.65,3.0261,110020.66,3234316.952
169,601888.SH,20210416,287.18,288.16,277.5,285.85,283.06,2.79,0.9857,93925.01,2662067.586
170,601888.SH,20210415,286.96,286.96,278.1,283.06,288.2,-5.14,-1.7835,101691.05,2864860.304
171,601888.SH,20210414,260,289.38,260,288.2,265.85,22.35,8.407,258066.1,7208830.725
172,601888.SH,20210413,292.82,302.88,265.85,265.85,295.39,-29.54,-10.0003,235380.76,6553860.063
173,601888.SH,20210412,296.01,304.59,289,295.39,301.6,-6.21,-2.059,146372.62,4304374.209
174,601888.SH,20210409,310,312,301.04,301.6,312.28,-10.68,-3.42,95395.39,2896177.559
175,601888.SH,20210408,307.5,315,305.53,312.28,311.9,0.38,0.1218,85729.67,2662657.714
176,601888.SH,20210407,315.91,316.95,307,311.9,317.2,-5.3,-1.6709,102518.6,3181247.677
177,601888.SH,20210406,334.98,334.98,312.67,317.2,333.5,-16.3,-4.8876,138866.91,4445332.911
178,601888.SH,20210402,321,337.82,320,333.5,321.95,11.55,3.5875,104551.59,3455129.967
